"fecha";"Run Fondo";"periodo";"rent";"serie"
2023-05-01;"8305";"6M";0.01;APV
2023-05-01;"8305";"1Y";0.05;APV
2023-05-01;"8305";YTD;0.00;APV
2023-05-02;"8305";"1M";0.00;APV
2023-05-02;"8305";"3M";0.00;APV
2023-05-02;"8305";"6M";0.00;APV
2023-05-02;"8305";"1Y";0.05;APV
2023-05-02;"8305";YTD;0.00;APV
2023-05-03;"8305";"1M";0.01;APV
2023-05-03;"8305";"3M";-0.01;APV
2023-05-03;"8305";"6M";0.00;APV
2023-05-03;"8305";"1Y";0.04;APV
2023-05-03;"8305";YTD;0.00;APV
2023-05-04;"8305";"1M";0.02;APV
2023-05-04;"8305";"3M";-0.01;APV
2023-05-04;"8305";"6M";-0.01;APV
2023-05-04;"8305";"1Y";0.02;APV
2023-05-04;"8305";YTD;-0.01;APV
2023-05-05;"8305";"1M";0.04;APV
2023-05-05;"8305";"3M";0.01;APV
2023-05-05;"8305";"6M";0.01;APV
2023-05-05;"8305";"1Y";0.05;APV
2023-05-05;"8305";YTD;0.01;APV
2023-05-06;"8305";"1M";0.03;APV
2023-05-06;"8305";"3M";0.02;APV
2023-05-06;"8305";"6M";0.01;APV
2023-05-06;"8305";"1Y";0.05;APV
2023-05-06;"8305";YTD;0.01;APV
2023-05-07;"8305";"1M";0.03;APV
2023-05-07;"8305";"3M";0.02;APV
2023-05-07;"8305";"6M";0.00;APV
2023-05-07;"8305";"1Y";0.05;APV
2023-05-07;"8305";YTD;0.01;APV
2023-05-08;"8305";"1M";0.06;APV
2023-05-08;"8305";"3M";0.04;APV
2023-05-08;"8305";"6M";0.00;APV
2023-05-08;"8305";"1Y";0.08;APV
2023-05-08;"8305";YTD;0.04;APV
2023-05-09;"8305";"1M";0.05;APV
2023-05-09;"8305";"3M";0.02;APV
2023-05-09;"8305";"6M";0.00;APV
2023-05-09;"8305";"1Y";0.09;APV
2023-05-09;"8305";YTD;0.03;APV
2023-05-10;"8305";"1M";0.05;APV
2023-05-10;"8305";"3M";0.02;APV
2023-05-10;"8305";"6M";0.00;APV
2023-05-10;"8305";"1Y";0.10;APV
2023-05-10;"8305";YTD;0.03;APV
2023-05-11;"8305";"1M";0.04;APV
2023-05-11;"8305";"3M";0.02;APV
2023-05-11;"8305";"6M";0.00;APV
2023-05-11;"8305";"1Y";0.11;APV
2023-05-11;"8305";YTD;0.03;APV
2023-05-12;"8305";"1M";0.03;APV
2023-05-12;"8305";"3M";0.01;APV
2023-05-12;"8305";"6M";0.00;APV
2023-05-12;"8305";"1Y";0.10;APV
2023-05-12;"8305";YTD;0.02;APV
2023-05-13;"8305";"1M";0.02;APV
2023-05-13;"8305";"3M";0.02;APV
2023-05-13;"8305";"6M";0.00;APV
2023-05-13;"8305";"1Y";0.06;APV
2023-05-13;"8305";YTD;0.02;APV
2023-05-14;"8305";"1M";0.01;APV
2023-05-14;"8305";"3M";0.02;APV
2023-05-14;"8305";"6M";0.00;APV
2023-05-14;"8305";"1Y";0.06;APV
2023-05-14;"8305";YTD;0.02;APV
2023-05-15;"8305";"1M";0.01;APV
2023-05-15;"8305";"3M";0.01;APV
2023-05-15;"8305";"6M";0.02;APV
2023-05-15;"8305";"1Y";0.06;APV
2023-05-15;"8305";YTD;0.02;APV
2023-05-16;"8305";"1M";0.02;APV
2023-05-16;"8305";"3M";0.01;APV
2023-05-16;"8305";"6M";0.02;APV
2023-05-16;"8305";"1Y";0.06;APV
2023-05-16;"8305";YTD;0.03;APV
2023-05-17;"8305";"1M";0.00;APV
2023-05-17;"8305";"3M";0.03;APV
2023-05-17;"8305";"6M";0.03;APV
2023-05-17;"8305";"1Y";0.03;APV
2023-05-17;"8305";YTD;0.02;APV
2023-05-18;"8305";"1M";0.00;APV
2023-05-18;"8305";"3M";0.03;APV
2023-05-18;"8305";"6M";0.02;APV
2023-05-18;"8305";"1Y";0.04;APV
2023-05-18;"8305";YTD;0.02;APV
2023-05-19;"8305";"1M";0.01;APV
2023-05-19;"8305";"3M";0.03;APV
2023-05-19;"8305";"6M";0.03;APV
2023-05-19;"8305";"1Y";0.04;APV
2023-05-19;"8305";YTD;0.03;APV
2023-05-20;"8305";"1M";0.02;APV
2023-05-20;"8305";"3M";0.03;APV
2023-05-20;"8305";"6M";0.03;APV
2023-05-20;"8305";"1Y";0.04;APV
2023-05-20;"8305";YTD;0.03;APV
2023-05-21;"8305";"1M";0.05;APV
2023-05-21;"8305";"3M";0.04;APV
2023-05-21;"8305";"6M";0.00;APV
2023-05-21;"8305";"1Y";0.04;APV
2023-05-21;"8305";YTD;0.03;APV
2023-05-22;"8305";"1M";0.05;APV
2023-05-22;"8305";"3M";0.05;APV
2023-05-22;"8305";"6M";0.01;APV
2023-05-22;"8305";"1Y";0.05;APV
2023-05-22;"8305";YTD;0.03;APV
2023-05-23;"8305";"1M";0.06;APV
2023-05-23;"8305";"3M";0.04;APV
2023-05-23;"8305";"6M";0.02;APV
2023-05-23;"8305";"1Y";0.02;APV
2023-05-23;"8305";YTD;0.03;APV
2023-05-24;"8305";"1M";0.03;APV
2023-05-24;"8305";"3M";0.03;APV
2023-05-24;"8305";"6M";0.01;APV
2023-05-24;"8305";"1Y";0.01;APV
2023-05-24;"8305";YTD;0.03;APV
2023-05-25;"8305";"1M";0.02;APV
2023-05-25;"8305";"3M";0.02;APV
2023-05-25;"8305";"6M";0.00;APV
2023-05-25;"8305";"1Y";-0.01;APV
2023-05-25;"8305";YTD;0.01;APV
2023-05-26;"8305";"1M";0.01;APV
2023-05-26;"8305";"3M";0.00;APV
2023-05-26;"8305";"6M";-0.01;APV
2023-05-26;"8305";"1Y";-0.04;APV
2023-05-26;"8305";YTD;0.00;APV
2023-05-27;"8305";"1M";-0.01;APV
2023-05-27;"8305";"3M";0.00;APV
2023-05-27;"8305";"6M";-0.01;APV
2023-05-27;"8305";"1Y";-0.06;APV
2023-05-27;"8305";YTD;0.00;APV
2023-05-28;"8305";"1M";-0.01;APV
2023-05-28;"8305";"3M";-0.01;APV
2023-05-28;"8305";"6M";0.00;APV
2023-05-28;"8305";"1Y";-0.06;APV
2023-05-28;"8305";YTD;0.00;APV
2023-05-29;"8305";"1M";-0.01;APV
2023-05-29;"8305";"3M";-0.01;APV
2023-05-29;"8305";"6M";-0.01;APV
2023-05-29;"8305";"1Y";-0.06;APV
2023-05-29;"8305";YTD;0.00;APV
2023-05-30;"8305";"1M";-0.01;APV
2023-05-30;"8305";"3M";-0.01;APV
2023-05-30;"8305";"6M";-0.02;APV
2023-05-30;"8305";"1Y";-0.06;APV
2023-05-30;"8305";YTD;0.00;APV
2023-05-31;"8305";"1M";-0.03;APV
2023-05-31;"8305";"3M";-0.03;APV
2023-05-31;"8305";"6M";-0.04;APV
2023-05-31;"8305";"1Y";-0.06;APV
2023-05-31;"8305";YTD;-0.02;APV
2023-06-01;"8305";"1M";-0.02;APV
2023-06-01;"8305";"3M";-0.02;APV
2023-06-01;"8305";"6M";-0.03;APV
2023-06-01;"8305";"1Y";-0.04;APV
2023-06-01;"8305";YTD;-0.02;APV
2023-06-02;"8305";"1M";0.01;APV
2023-06-02;"8305";"3M";0.00;APV
2023-06-02;"8305";"6M";-0.01;APV
2023-06-02;"8305";"1Y";-0.03;APV
